id,state_region_mm,state_region_en,constituency_mm,constituency_en,assembly_type,areas_included_mm,areas_included_en,representatives,electoral_system,lat,lng
1,ကချင်ပြည်နယ်,Kachin State,ချီဖွေမြို့နယ်,ချီဖွေ Township,pyithu,ချီဖွေမြို့နယ်တစ်ခုလုံး။,ချီဖွေEntire Township.,1,FPTP,25.43447141530112,97.3949753227153
2,ကချင်ပြည်နယ်,Kachin State,ဆော့လော်မြို့နယ်,ဆော့လော် Township,pyithu,ဆော့လော်မြို့နယ်တစ်ခုလုံး။,ဆော့လော်Entire Township.,1,FPTP,25.37097356988288,97.3064745628514
3,ကချင်ပြည်နယ်,Kachin State,တနိုင်းမြို့နယ်,တနိုင်း Township,pyithu,တနိုင်းမြို့နယ်တစ်ခုလုံး။,တနိုင်းEntire Township.,1,FPTP,25.449568853810067,97.40378045581937
4,ကချင်ပြည်နယ်,Kachin State,ခေါင်လန်ဖူးမြို့နယ်,ခေါင်လန်ဖူး Township,pyithu,ခေါင်လန်ဖူးမြို့နယ်တစ်ခုလုံး။,ခေါင်လန်ဖူးEntire Township.,1,FPTP,25.5371029856408,97.32848382884879
5,ကချင်ပြည်နယ်,Kachin State,ဆွမ်ပရာဘွမ်မြို့နယ်,ဆွမ်ပရာဘွမ် Township,pyithu,ဆွမ်ပရာဘွမ်မြို့နယ်တစ်ခုလုံး။,ဆွမ်ပရာဘွမ်Entire Township.,1,FPTP,25.361384662527666,97.49371197334177
6,ကချင်ပြည်နယ်,Kachin State,နောင်မွန်းမြို့နယ်,နောင်မွန်း Township,pyithu,နောင်မွန်းမြို့နယ်တစ်ခုလုံး။,နောင်မွန်းEntire Township.,1,FPTP,25.361386304305082,97.38149426184978
7,ကချင်ပြည်နယ်,Kachin State,ပူတာအိုမြို့နယ်,ပူတာအို Township,pyithu,ပူတာအိုမြို့နယ်တစ်ခုလုံး။,ပူတာအိုEntire Township.,1,FPTP,25.542721281550737,97.31365028032074
8,ကချင်ပြည်နယ်,Kachin State,မချမ်းဘောမြို့နယ်,မချမ်းဘော Township,pyithu,မချမ်းဘောမြို့နယ်တစ်ခုလုံး။,မချမ်းဘောEntire Township.,1,FPTP,25.461543472915288,97.3640614158347
9,ကချင်ပြည်နယ်,Kachin State,ဗန်းမော်မြို့နယ်,ဗန်းမော် Township,pyithu,ဗန်းမော်မြို့နယ်တစ်ခုလုံး။,ဗန်းမော်Entire Township.,1,FPTP,25.337852561406503,97.43749314542755
10,ကချင်ပြည်နယ်,Kachin State,မံစီမြို့နယ်,မံစီ Township,pyithu,မံစီမြို့နယ်တစ်ခုလုံး။,မံစီEntire Township.,1,FPTP,25.439056004358594,97.3398275447196
11,ကချင်ပြည်နယ်,Kachin State,မိုးမောက်မြို့နယ်,မိုးမောက် Township,pyithu,မိုးမောက်မြို့နယ်တစ်ခုလုံး။,မိုးမောက်Entire Township.,1,FPTP,25.338458230718754,97.31397796044335
12,ကချင်ပြည်နယ်,Kachin State,ရွှေကူမြို့နယ်,ရွှေကူ Township,pyithu,ရွှေကူမြို့နယ်တစ်ခုလုံး။,ရွှေကူEntire Township.,1,FPTP,25.338227024642972,97.42056872114918
13,ကချင်ပြည်နယ်,Kachin State,ဖားကန့်မြို့နယ်,ဖားကန့် Township,pyithu,ဖားကန့်မြို့နယ်တစ်ခုလုံး။,ဖားကန့်Entire Township.,1,FPTP,25.408996227156603,97.42069665711087
14,ကချင်ပြည်နယ်,Kachin State,မိုးကောင်းမြို့နယ်,မိုးကောင်း Township,pyithu,မိုးကောင်းမြို့နယ်တစ်ခုလုံး။,မိုးကောင်းEntire Township.,1,FPTP,25.19347197553422,97.34550568246289
15,ကချင်ပြည်နယ်,Kachin State,မိုးညှင်းမြို့နယ်,မိုးညှင်း Township,pyithu,မိုးညှင်းမြို့နယ်တစ်ခုလုံး။,မိုးညှင်းEntire Township.,1,FPTP,25.212308216748696,97.34909616943816
16,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနားမြို့နယ်,မြစ်ကြီးနား Township,pyithu,မြစ်ကြီးနားမြို့နယ်တစ်ခုလုံး။,မြစ်ကြီးနားEntire Township.,1,FPTP,25.3285712470759,97.41940499373575
17,ကချင်ပြည်နယ်,Kachin State,ဝိုင်းမော်မြို့နယ်,ဝိုင်းမော် Township,pyithu,ဝိုင်းမော်မြို့နယ်တစ်ခုလုံး။,ဝိုင်းမော်Entire Township.,1,FPTP,25.283516887966556,97.25139156585026
18,ကချင်ပြည်နယ်,Kachin State,အင်ဂျန်းယန်မြို့နယ်,အင်ဂျန်းယန် Township,pyithu,အင်ဂျန်းယန်မြို့နယ်တစ်ခုလုံး။,အင်ဂျန်းယန်Entire Township.,1,FPTP,25.416224733259526,97.25545362256234
19,ကယားပြည်နယ်,Kayah State,ဒီးမော့ဆိုမြို့နယ်,ဒီးမော့ဆို Township,pyithu,ဒီးမော့ဆိုမြို့နယ်တစ်ခုလုံး။,ဒီးမော့ဆိုEntire Township.,1,FPTP,19.20919759244788,97.12815557787476
20,ကယားပြည်နယ်,Kayah State,ဖရူဆိုမြို့နယ်,ဖရူဆို Township,pyithu,ဖရူဆိုမြို့နယ်တစ်ခုလုံး။,ဖရူဆိုEntire Township.,1,FPTP,19.158769629866473,97.17865528482882
21,ကယားပြည်နယ်,Kayah State,ဖားဆောင်းမြို့နယ်,ဖားဆောင်း Township,pyithu,ဖားဆောင်းမြို့နယ်တစ်ခုလုံး။,ဖားဆောင်းEntire Township.,1,FPTP,19.446564876892158,97.23109075655981
22,ကယားပြည်နယ်,Kayah State,ဘောလခဲမြို့နယ်,ဘောလခဲ Township,pyithu,ဘောလခဲမြို့နယ်တစ်ခုလုံး။,ဘောလခဲEntire Township.,1,FPTP,19.277422369951346,97.34753562169496
23,ကယားပြည်နယ်,Kayah State,မယ်စဲ့မြို့နယ်,မယ်စဲ့ Township,pyithu,မယ်စဲ့မြို့နယ်တစ်ခုလုံး။,မယ်စဲ့Entire Township.,1,FPTP,19.306752820468795,97.2857659623202
24,ကယားပြည်နယ်,Kayah State,ရှားတောမြို့နယ်,ရှားတော Township,pyithu,ရှားတောမြို့နယ်တစ်ခုလုံး။,ရှားတောEntire Township.,1,FPTP,19.157525181378656,97.18400614700366
25,ကယားပြည်နယ်,Kayah State,လွိုင်ကော်မြို့နယ်,လွိုင်ကော် Township,pyithu,လွိုင်ကော်မြို့နယ်တစ်ခုလုံး။,လွိုင်ကော်Entire Township.,1,FPTP,19.245561727547482,97.19809837920974
26,ကရင်ပြည်နယ်,Kayin State,ကော့ကရိတ်မြို့နယ်,ကော့ကရိတ် Township,pyithu,ကော့ကရိတ်မြို့နယ်တစ်ခုလုံး။,ကော့ကရိတ်Entire Township.,1,FPTP,16.811092258970987,97.89974706353622
27,ကရင်ပြည်နယ်,Kayin State,ကြာအင်းဆိပ်ကြီးမြို့နယ်,ကြာအင်းဆိပ်ကြီး Township,pyithu,ကြာအင်းဆိပ်ကြီးမြို့နယ်တစ်ခုလုံး။,ကြာအင်းဆိပ်ကြီးEntire Township.,1,FPTP,16.68490064225777,97.99814868640077
28,ကရင်ပြည်နယ်,Kayin State,ဖာပွန်မြို့နယ်,ဖာပွန် Township,pyithu,ဖာပွန်မြို့နယ်တစ်ခုလုံး။,ဖာပွန်Entire Township.,1,FPTP,16.83756980183457,97.97113413610799
29,ကရင်ပြည်နယ်,Kayin State,ဘားအံမြို့နယ်,ဘားအံ Township,pyithu,ဘားအံမြို့နယ်တစ်ခုလုံး။,ဘားအံEntire Township.,1,FPTP,16.739936131008122,98.03227185603382
