id,constituency_en,constituency_mm,state_region_en,state_region_mm,assembly_type,areas_included_en,areas_included_mm,representatives,electoral_system_en,tsp_pcode,lat,lng,coordinate_source,township_name_en,township_mm
1,Chipwi Constituency,ချီဖွေမြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,ချီဖွေမြို့နယ်တစ်ခုလုံး။ ,ချီဖွေမြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001005,25.988746540984515,98.37949609829599,mimu_boundary_centroid,Chipwi,ချီဖွေမြို့နယ်
2,Tsawlaw Constituency,ဆော့လော်မြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,ဆော့လော်မြို့နယ်တစ်ခုလုံး။ ,ဆော့လော်မြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001006,26.4044291556262,98.39554654369881,mimu_boundary_centroid,Tsawlaw,ဆော့လော်မြို့နယ်
3,Tanai Constituency,တနိုင်းမြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,တနိုင်းမြို့နယ်တစ်ခုလုံး။ ,တနိုင်းမြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001004,26.39642827602829,96.61235726079774,mimu_boundary_centroid,Tanai,တနိုင်းမြို့နယ်
4,Khaunglanhpu Constituency,ခေါင်လန်ဖူးမြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,ခေါင်လန်ဖူးမြို့နယ်တစ်ခုလုံး။ ,ခေါင်လန်ဖူးမြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001018,27.1528018823551,98.38720658718071,mimu_boundary_centroid,Khaunglanhpu,ခေါင်လန်ဖူးမြို့နယ်
5,Sumprabum Constituency,ဆွမ်ပရာဘွမ်မြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,ဆွမ်ပရာဘွမ်မြို့နယ်တစ်ခုလုံး။ ,ဆွမ်ပရာဘွမ်မြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001015,26.438490784230567,97.63869412072157,mimu_boundary_centroid,Sumprabum,ဆွမ်ပရာဘွမ်မြို့နယ်
6,Nawngmun Constituency,နောင်မွန်းမြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,နောင်မွန်းမြို့နယ်တစ်ခုလုံး။ ,နောင်မွန်းမြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001017,27.95719878170902,97.77588466384063,mimu_boundary_centroid,Nawngmun,နောင်မွန်းမြို့နယ်
7,Puta-O Constituency,ပူတာအိုမြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,ပူတာအိုမြို့နယ်တစ်ခုလုံး။ ,ပူတာအိုမြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001014,27.310160042555268,97.40544415092359,mimu_boundary_centroid,Puta-O,ပူတာအိုမြို့နယ်
8,Machanbaw Constituency,မချမ်းဘောမြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,မချမ်းဘောမြို့နယ်တစ်ခုလုံး။ ,မချမ်းဘောမြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001016,27.232348256954484,97.72678485977264,mimu_boundary_centroid,Machanbaw,မချမ်းဘောမြို့နယ်
9,Bhamo Constituency,ဗန်းမော်မြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,ဗန်းမော်မြို့နယ်တစ်ခုလုံး။ ,ဗန်းမော်မြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001010,24.115431972069796,97.03276192680636,mimu_boundary_centroid,Bhamo,ဗန်းမော်မြို့နယ်
10,Mansi Constituency,မံစီမြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,မံစီမြို့နယ်တစ်ခုလုံး။ ,မံစီမြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001013,23.872200762414387,97.41303735691876,mimu_boundary_centroid,Mansi,မံစီမြို့နယ်
11,Momauk Constituency,မိုးမောက်မြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,မိုးမောက်မြို့နယ်တစ်ခုလုံး။ ,မိုးမောက်မြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001012,24.572445693134593,97.41162135053034,mimu_boundary_centroid,Momauk,မိုးမောက်မြို့နယ်
12,Shwegu Constituency,ရွှေကူမြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,ရွှေကူမြို့နယ်တစ်ခုလုံး။ ,ရွှေကူမြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001011,24.344310937364927,96.76282299171791,mimu_boundary_centroid,Shwegu,ရွှေကူမြို့နယ်
13,Hpakant Constituency,ဖားကန့်မြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,ဖားကန့်မြို့နယ်တစ်ခုလုံး။ ,ဖားကန့်မြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001009,25.709899289639196,96.42890606629506,mimu_boundary_centroid,Hpakant,ဖားကန့်မြို့နယ်
14,Mogaung Constituency,မိုးကောင်းမြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,မိုးကောင်းမြို့နယ်တစ်ခုလုံး။ ,မိုးကောင်းမြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001008,25.307929312729225,96.85803524904019,mimu_boundary_centroid,Mogaung,မိုးကောင်းမြို့နယ်
15,Mohnyin Constituency,မိုးညှင်းမြို့နယ်မဲဆန္ဒနယ်,Kachin State,ကချင်ပြည်နယ်,PTHT,မိုးညှင်းမြို့နယ်တစ်ခုလုံး။ ,မိုးညှင်းမြို့နယ်တစ်ခုလုံး။ ,1,FPTP,MMR001007,24.97116153248121,96.35934959177439,mimu_boundary_centroid,Mohnyin,မိုးညှင်းမြို့နယ်
